breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
year,-1,PTS,0.422316406,0.029180375,Trend,Shape,0.012323351,17,182477,*,*,Houston Rockets,*,NBA,*,108,34.946743,-54.155655
year,-1,AST,0.373909071,0.029180375,Trend,Shape,0.010910807,320,182477,*,*,Houston Rockets,*,NBA,*,109,-30.18247,-45.084473
year,-1,PTS,0.220552985,0.1074715109999999,Trend,Shape,0.023703163,18,25254,*,*,TOT,*,*,*,110,-67.68776,-0.019368185
age,26,PTS,0.856444504,0.1074715109999999,Top1,Point,0.092043385,68,25254,*,*,TOT,*,*,*,111,-20.842127,-15.852096
year,1968,PTS,1.0,0.1074715109999999,Change Point,Shape,0.1074715109999999,130,25254,*,*,TOT,*,*,*,112,-67.68782,-0.021259334
year,2011,PTS,0.995288938,0.1074715109999999,Outlier,Shape,0.106965206,186,25254,*,*,TOT,*,*,*,113,-67.68782,-0.021258513
lg_name,NBA,PTS,0.883518723,0.1074715109999999,Attribution,Point,0.0949530919999999,237,25254,*,*,TOT,*,*,*,114,-20.851532,-15.847528
year,-1,AST,0.296220794,0.1074715109999999,Trend,Shape,0.031835296,337,25254,*,*,TOT,*,*,*,115,12.262511,-59.559914
age,26,AST,0.799924581,0.1074715109999999,Top1,Point,0.085969103,363,25254,*,*,TOT,*,*,*,116,-20.995266,1.1613724
pos_name,PG,AST,0.998694442,0.1074715109999999,Top1,Point,0.107331201,379,25254,*,*,TOT,*,*,*,117,-21.469784,1.0338372
year,1968,AST,1.0,0.1074715109999999,Change Point,Shape,0.1074715109999999,430,25254,*,*,TOT,*,*,*,118,12.262513,-59.55991
year,2011,AST,0.99693534,0.1074715109999999,Outlier,Shape,0.107142147,486,25254,*,*,TOT,*,*,*,119,12.262511,-59.55991
pos_name,PG,AST,0.331345492,0.1074715109999999,Attribution,Point,0.035610201,507,25254,*,*,TOT,*,*,*,120,-21.165737,0.84139633
lg_name,NBA,AST,0.8974495440000001,0.1074715109999999,Attribution,Point,0.096450259,536,25254,*,*,TOT,*,*,*,121,-21.36637,1.3216934
name,-1,PTS;AST,0.669731748,0.1074715109999999,Clustering,Compound Shape,0.08652574,572,25254,*,*,TOT,*,*,*,122,-21.8651,0.09735997
year,-1,PTS,0.300473186,0.028226768,Trend,Shape,0.008481387,19,25256,*,*,Milwaukee Bucks,*,*,*,123,-72.53609,2.5932078
lg_name,NBA,PTS,0.952209648,0.028226768,Attribution,Point,0.026877801,204,25256,*,*,Milwaukee Bucks,*,*,*,124,-14.208434,-20.167257
year,-1,AST,0.390980295,0.028226768,Trend,Shape,0.01103611,319,25256,*,*,Milwaukee Bucks,*,*,*,125,15.15014,-64.99243
year,-1,PTS,0.422316406,0.029180375,Trend,Shape,0.012323351,20,25258,*,*,Houston Rockets,*,*,*,126,-72.2217,2.149775
lg_name,NBA,PTS,0.952209648,0.029180375,Attribution,Point,0.027785834,209,25258,*,*,Houston Rockets,*,*,*,127,-14.647788,-19.807632
year,-1,AST,0.373909071,0.029180375,Trend,Shape,0.010910807,309,25258,*,*,Houston Rockets,*,*,*,128,14.750905,-64.69226
lg_name,NBA,AST,0.952209648,0.029180375,Attribution,Point,0.027785834,500,25258,*,*,Houston Rockets,*,*,*,129,-19.304913,3.814931
year,-1,PTS,0.504515188,0.035617222,Trend,Shape,0.01796943,21,215462,*,*,*,32,NBA,*,130,-9.892018,22.224491
year,1996,PTS,0.993773285,0.035617222,Outlier,Shape,0.035395444,150,215462,*,*,*,32,NBA,*,131,-9.892765,22.224562
year,-1,AST,0.46745174,0.035617222,Trend,Shape,0.016649332,316,215462,*,*,*,32,NBA,*,132,-55.859207,-22.88382
year,-1,PTS,0.489953587,0.03666619,Trend,Shape,0.017964731,22,58092,*,*,*,32,*,*,133,33.83115,43.736656
year,1996,PTS,0.993059264,0.03666619,Outlier,Shape,0.0364117,171,58092,*,*,*,32,*,*,134,33.832478,43.73812
lg_name,NBA,PTS,0.94163433,0.03666619,Attribution,Point,0.0345261429999999,207,58092,*,*,*,32,*,*,135,21.534979,13.060487
year,-1,AST,0.455554479,0.03666619,Trend,Shape,0.016703447,340,58092,*,*,*,32,*,*,136,-23.865442,55.96156
