x,y
21.277403,31.465355
2.4821122,-11.693173
2.4821107,-11.693429
21.569351,31.21817
-64.926834,-77.647354
33.34731,48.67343
-64.92688,-77.64911
-64.92677,-77.64881
33.28708,48.746017
9.023192,-25.652515
19.08429,23.371832
19.384056,23.391384
9.023185,-25.652622
9.023013,-25.652905
19.456894,23.415453
84.23175,12.177857
84.23168,12.177837
84.24412,12.133352
-30.365356,-41.085583
-33.46787,-72.335205
-30.432783,-41.13087
-30.366133,-41.084427
-33.467957,-72.33194
-55.14165,58.82459
-25.787548,-4.177241
-55.099144,58.768173
-55.072227,58.781757
-25.788246,-4.176099
-58.28287,-25.531694
57.121334,48.640965
-58.260044,-25.476633
-58.260063,-25.47467
57.085392,48.63726
102.37739,3.078066
-8.768369,32.66809
104.07272,2.6438594
104.071335,2.6460943
104.44582,2.3519948
-8.767923,32.665993
102.37449,3.0790405
-61.406384,-47.814003
32.750248,55.869118
-61.406662,-47.813858
-61.406395,-47.814003
32.763477,55.83269
14.305692,-4.1095195
29.06339,30.873236
28.96376,30.589397
14.305696,-4.10952
14.305688,-4.1095195
28.897486,30.443563
10.051284,-85.25629
-16.934057,54.176186
10.052046,-85.2496
-16.208282,53.252563
-16.197346,53.238045
-16.118355,53.13663
12.0656395,-83.00806
79.96768,35.134758
-19.46261,-24.9471
-74.82245,-56.002598
-74.842415,-56.03775
-74.82239,-56.000374
31.324942,50.653965
22.00171,-8.927551
27.434795,20.246326
22.004633,-8.932586
21.994331,-8.916787
27.420372,20.277401
-80.44646,-18.09164
86.81248,29.666927
86.81238,29.666782
86.812416,29.666935
-18.988924,-30.203974
-18.988941,-30.203989
-18.986198,-30.204058
-83.12179,67.88459
5.1007786,88.11529
-83.12321,67.88396
-83.12525,67.88405
-18.647768,118.35527
-15.319857,-87.082565
-18.647726,118.35528
-18.64773,118.355064
21.773296,-59.499565
-86.87331,29.859802
-85.20355,29.514963
-86.872375,29.860497
-87.3204,30.06549
-85.19982,29.514238
21.771696,-59.498547
-96.060776,64.32733
5.100819,86.75509
5.2245874,86.54275
-96.0608,64.32771
-96.06064,64.327385
-25.973778,111.89285
-14.5423975,-86.00209
-14.526763,-85.72241
-25.973707,111.89282
-25.97403,111.89327
24.21708,-61.05529
104.80395,33.409
103.719055,32.053852
24.216757,-61.05543
104.81975,33.412697
103.73554,32.075127
105.13657,33.761192
-39.196125,-93.2719
19.748096,-37.410885
-4.4628024,67.89167
-39.432247,-93.70019
-39.000114,-93.93653
17.846947,-40.804073
18.660442,-38.615417
19.405937,-37.738125
-38.76216,-93.50817
61.48568,-43.744488
-4.276304,68.52683
60.888573,-44.786232
58.963306,-42.573906
61.00821,-42.795673
60.32686,-43.712353
59.19401,-43.710705
18.427347,-37.98321
19.035551,-38.10954
60.050125,-42.641838
20.998707,-38.3349
59.829685,-41.41366
63.163986,-44.951782
62.138382,-42.63147
-5.1248283,67.87305
57.37434,-44.684654
20.360308,-36.306976
63.163986,-44.951782
18.049541,-36.354126
63.163986,-44.951782
59.727623,-44.778984
19.68266,-38.33949
19.348406,-38.52169
-4.822278,68.89901
19.87856,-37.82736
18.645765,-37.57372
-5.3462853,68.496056
19.257658,-37.01923
18.971752,-37.376728
61.16725,-41.68864
-87.92342,-37.1153
47.143017,-70.42052
47.656727,-74.64586
49.255375,-74.89262
-87.9544,-37.610725
-87.447655,-37.13918
49.089096,-73.31004
47.656727,-74.64583
49.410385,-74.60689
47.140564,-70.42043
49.58504,-74.36441
-87.48335,-37.636383
26.406355,76.78496
27.618612,78.104774
-84.24804,-38.381294
28.011824,77.92808
27.618013,78.1068
26.408829,76.79012
-84.234314,-38.381393
87.224106,17.233608
87.22361,17.233122
87.223755,17.233046
-34.504086,-36.22867
-30.389044,-66.816185
-34.504124,-36.228966
-34.50416,-36.22881
-30.398106,-66.84085
-37.05299,-18.076075
81.33549,4.0385895
81.33545,4.038308
81.33727,4.011855
-26.520496,-26.36168
-31.744123,-71.325966
-26.495142,-26.357052
-26.513409,-26.360186
-37.16554,-17.27987
66.39048,-21.790392
66.286316,-21.67851
1.5926017,-48.814514
1.5838243,-48.821358
-68.81663,9.8143
-68.81257,9.817184
70.87492,-21.881294
-2.6475723,-55.42806
66.965416,-19.272243
66.82666,-19.325504
-1.8551687,-48.026638
-1.8550762,-48.03065
-69.91722,6.872314
-69.914955,6.8736386
46.630238,-18.281733
46.75141,-18.527557
-50.864384,26.112858
-50.864944,26.116568
46.65144,-18.33222
-6.8570046,3.8990736
-6.858504,3.8990629
8.651288,53.026443
67.92703,-20.900404
0.9682918,-53.240597
0.96835476,-53.240604
-66.876816,5.0720916
-66.88345,5.071908
69.67163,-22.074501
-2.4188006,-53.236526
-61.321022,8.562754
-61.33323,8.568981
43.69477,-4.0827146
-42.450226,18.282982
-42.44861,18.281065
43.718315,-4.0145993
0.1736123,10.31109
9.508235,49.272766
41.180088,-19.207293
41.176502,-19.48276
-48.590466,28.327585
-48.588295,28.32656
41.17904,-19.266241
-4.151711,1.8226767
-4.1524496,1.8226728
8.651157,53.026173
68.14303,-21.88318
-3.7070603,-51.386467
-3.706825,-51.39951
-65.51947,7.7585044
-65.52121,7.757936
69.98035,-21.053457
-1.292478,-53.63989
-60.968845,4.9105544
-60.970108,4.911018
68.6275,-20.183786
-0.8218487,-51.110302
-0.82170653,-51.10755
-65.54073,10.859379
-65.53981,10.859067
45.993946,-13.556326
-44.308353,24.22781
-44.306267,24.228231
45.985912,-13.534498
-0.8977279,4.215113
-0.89816695,4.215271
8.914411,51.89809
43.11531,-15.175262
-45.60717,27.237059
-45.60638,27.237448
43.102238,-15.148763
-3.6019602,5.3703604
-3.6040676,5.366336
8.303506,51.737118
39.749493,-14.446556
-48.373066,23.799686
-48.372417,23.799889
39.745525,-14.421499
-5.3999887,7.723534
-5.3997817,7.723493
9.5334425,52.016064
44.03447,-9.074664
-46.53746,25.431002
44.037025,-9.047422
0.86618173,8.538848
0.8711602,8.544118
9.158478,50.821682
39.977253,-8.849177
-46.322964,24.15971
39.97567,-8.829955
-1.689097,10.719113
-1.6950338,10.719695
9.158477,50.821682
52.377193,26.549961
50.955826,26.757713
51.221996,26.087706
51.933216,25.981068
51.404846,27.324892
46.67252,3.8394547
10.324689,45.761673
52.112293,27.221634
45.672047,1.1154989
6.5413055,16.579376
9.9651575,47.296375
46.676277,3.8390517
10.324392,45.7619
-51.797935,3.8725488
-25.428835,109.9219
12.049583,-83.027695
