breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,index,x,y
team_name,TOT,AST,0.839158269,0.06379631,Top1,Point,0.053535201,354,58089,*,*,*,29,*,*,92,34.03441,-48.33186
pos_name,PG,AST,0.959837224,0.06379631,Top1,Point,0.061234073,355,58089,*,*,*,29,*,*,93,33.986816,-48.31029
year,1967,AST,1.0,0.06379631,Change Point,Shape,0.06379631,437,58089,*,*,*,29,*,*,94,-65.716515,12.042991
year,1992,AST,0.981331756,0.06379631,Outlier,Shape,0.062605344,468,58089,*,*,*,29,*,*,95,-65.71812,12.043017
lg_name,NBA,AST,0.929141527,0.06379631,Attribution,Point,0.0592758,548,58089,*,*,*,29,*,*,96,33.936226,-48.330296
year,-1,PTS,0.389733034,0.094979259,Trend,Shape,0.037016555,16,182473,*,*,TOT,*,NBA,*,97,9.540467,25.820501
age,26,PTS,0.8306748429999999,0.094979259,Top1,Point,0.078896881,96,182473,*,*,TOT,*,NBA,*,98,-5.2230797,-1.4850413
year,1983,PTS,1.0,0.094979259,Change Point,Shape,0.094979259,145,182473,*,*,TOT,*,NBA,*,99,9.540467,25.820503
year,2011,PTS,0.998956804,0.094979259,Outlier,Shape,0.094880177,194,182473,*,*,TOT,*,NBA,*,100,9.540467,25.820501
year,-1,AST,0.4170425989999999,0.094979259,Trend,Shape,0.039610397,336,182473,*,*,TOT,*,NBA,*,101,59.26609,-24.856817
pos_name,PG,AST,0.999963577,0.094979259,Top1,Point,0.0949758,376,182473,*,*,TOT,*,NBA,*,102,-6.7173977,1.0693521
age,26,AST,0.803917357,0.094979259,Top1,Point,0.076355475,380,182473,*,*,TOT,*,NBA,*,103,-6.728647,1.0894177
year,1955,AST,1.0,0.094979259,Change Point,Shape,0.094979259,445,182473,*,*,TOT,*,NBA,*,104,59.265713,-24.856981
